3	223	187	139	32	68	116	2	1	2	1	0	0	260.8	1	3
4	223	187	139	32	68	116	1	2	1	1	0	0	273.95	0	4
5	223	187	139	32	68	116	2	1	2	1	0	0	336.21	0	5
6	223	187	139	32	68	116	1	2	1	1	0	0	240.24	1	6
7	223	187	139	32	68	116	2	1	2	1	0	0	501.06	0	7
8	223	187	139	32	68	116	1	2	2	2	0	0	379.26	1	7
9	223	187	139	32	68	116	1	2	2	2	0	0	477.25	0	7
10	223	187	139	32	68	116	1	2	2	2	0	0	783.69	0	7
11	223	187	139	32	68	116	2	1	2	1	0	0	803.07	1	8
12	223	187	139	32	68	116	1	2	1	1	0	0	338.74	1	9
13	223	187	139	32	68	116	1	2	1	1	0	0	275.35	0	10
14	223	187	139	32	68	116	1	2	1	1	0	0	256.57	1	11
15	223	187	139	32	68	116	1	2	1	1	0	0	258.07	1	12
16	223	187	139	32	68	116	1	2	0	-1	1	1	0	-1	12
17	223	187	139	32	68	116	1	2	1	1	0	0	320.38	0	13
18	223	187	139	32	68	116	1	2	1	1	0	0	929.09	1	14
19	223	187	139	32	68	116	1	2	1	1	0	0	256.25	1	15
20	223	187	139	32	68	116	1	2	1	1	0	0	169.66	0	16
